#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Wed Feb 19 21:56:55 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       test_map.ncd
#OUTPUT FILE:      test_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -1
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
R15,data_out<125>,IOB,IO_L13N_T2_MRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
R16,data_out<126>,IOB,IO_L15P_T2_DQS_RDWR_B_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R17,data_out<118>,IOB,IO_L12N_T1_MRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
R18,data_out<110>,IOB,IO_L7P_T1_D09_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
T1,,IOB33S,IO_L17N_T2_34,UNUSED,,34,,,,,,,,,
T2,,,VCCO_34,,,34,,,,,any******,,,,
T3,,IOB33S,IO_L11N_T1_SRCC_34,UNUSED,,34,,,,,,,,,
T4,,IOB33S,IO_L12N_T1_MRCC_34,UNUSED,,34,,,,,,,,,
T5,,IOB33M,IO_L12P_T1_MRCC_34,UNUSED,,34,,,,,,,,,
T6,,IOB33S,IO_L23N_T3_34,UNUSED,,34,,,,,,,,,
T7,,,GND,,,,,,,,,,,,
T8,,IOB33S,IO_L24N_T3_34,UNUSED,,34,,,,,,,,,
T9,,IOB33M,IO_L24P_T3_A01_D17_14,UNUSED,,14,,,,,,,,,
T10,,IOB33S,IO_L24N_T3_A00_D16_14,UNUSED,,14,,,,,,,,,
T11,,IOB33M,IO_L19P_T3_A10_D26_14,UNUSED,,14,,,,,,,,,
T12,,,VCCO_14,,,14,,,,,1.80,,,,
T13,,IOB33M,IO_L23P_T3_A03_D19_14,UNUSED,,14,,,,,,,,,
T14,data_out<124>,IOB,IO_L14P_T2_SRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T15,data_out<123>,IOB,IO_L14N_T2_SRCC_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
T16,,IOB33S,IO_L15N_T2_DQS_DOUT_CSO_B_14,UNUSED,,14,,,,,,,,,
T17,,,GND,,,,,,,,,,,,
T18,data_out<113>,IOB,IO_L7N_T1_D10_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
U1,,IOB33M,IO_L7P_T1_34,UNUSED,,34,,,,,,,,,
U2,,IOB33M,IO_L9P_T1_DQS_34,UNUSED,,34,,,,,,,,,
U3,,IOB33S,IO_L8N_T1_34,UNUSED,,34,,,,,,,,,
U4,,IOB33M,IO_L8P_T1_34,UNUSED,,34,,,,,,,,,
U5,,,VCCO_34,,,34,,,,,any******,,,,
U6,,IOB33S,IO_L22N_T3_34,UNUSED,,34,,,,,,,,,
U7,,IOB33M,IO_L22P_T3_34,UNUSED,,34,,,,,,,,,
U8,,IOB33,IO_25_34,UNUSED,,34,,,,,,,,,
U9,,IOB33M,IO_L21P_T3_DQS_34,UNUSED,,34,,,,,,,,,
U10,,,GND,,,,,,,,,,,,
U11,,IOB33S,IO_L19N_T3_A09_D25_VREF_14,UNUSED,,14,,,,,,,,,
U12,,IOB33M,IO_L20P_T3_A08_D24_14,UNUSED,,14,,,,,,,,,
U13,,IOB33S,IO_L23N_T3_A02_D18_14,UNUSED,,14,,,,,,,,,
U14,,IOB33M,IO_L22P_T3_A05_D21_14,UNUSED,,14,,,,,,,,,
U15,,,VCCO_14,,,14,,,,,1.80,,,,
U16,,IOB33M,IO_L18P_T2_A12_D28_14,UNUSED,,14,,,,,,,,,
U17,,IOB33M,IO_L17P_T2_A14_D30_14,UNUSED,,14,,,,,,,,,
U18,,IOB33S,IO_L17N_T2_A13_D29_14,UNUSED,,14,,,,,,,,,
V1,,IOB33S,IO_L7N_T1_34,UNUSED,,34,,,,,,,,,
V2,,IOB33S,IO_L9N_T1_DQS_34,UNUSED,,34,,,,,,,,,
V3,,,GND,,,,,,,,,,,,
V4,,IOB33S,IO_L10N_T1_34,UNUSED,,34,,,,,,,,,
V5,,IOB33M,IO_L10P_T1_34,UNUSED,,34,,,,,,,,,
V6,,IOB33S,IO_L20N_T3_34,UNUSED,,34,,,,,,,,,
V7,,IOB33M,IO_L20P_T3_34,UNUSED,,34,,,,,,,,,
V8,,,VCCO_34,,,34,,,,,any******,,,,
V9,,IOB33S,IO_L21N_T3_DQS_34,UNUSED,,34,,,,,,,,,
V10,,IOB33M,IO_L21P_T3_DQS_14,UNUSED,,14,,,,,,,,,
V11,,IOB33S,IO_L21N_T3_DQS_A06_D22_14,UNUSED,,14,,,,,,,,,
V12,,IOB33S,IO_L20N_T3_A07_D23_14,UNUSED,,14,,,,,,,,,
V13,,,GND,,,,,,,,,,,,
V14,,IOB33S,IO_L22N_T3_A04_D20_14,UNUSED,,14,,,,,,,,,
V15,,IOB33M,IO_L16P_T2_CSI_B_14,UNUSED,,14,,,,,,,,,
V16,,IOB33S,IO_L16N_T2_A15_D31_14,UNUSED,,14,,,,,,,,,
V17,,IOB33S,IO_L18N_T2_A11_D27_14,UNUSED,,14,,,,,,,,,
V18,,,VCCO_14,,,14,,,,,1.80,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#All RSVD_0 pins must be tied to GROUND.
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
